incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
8036241,10/08/2008 06:02:00 PM,XX,DOVER ST,,S,108,220,BURGLARY/BREAKING AND ENTERING,-71.12516,42.39557,25,017,350900,1400000US25017350900,25017350900,3509,CT,421685,0
10020503,06/19/2010 11:26:00 PM,XX,DOVER ST,,S,108,220,BURGLARY/BREAKING AND ENTERING,-71.12516,42.39557,25,017,350900,1400000US25017350900,25017350900,3509,CT,421685,0
6026732,08/03/2006 04:56:00 AM,XX,ELM ST,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.11571,42.38817,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
17016913,03/20/2017 02:35:08 PM,XX,FAIRFAX ST,,S,131,23F,THEFT FROM MOTOR VEHICLE,-71.12988,42.41175,25,017,350700,1400000US25017350700,25017350700,3507,CT,783926,29493
7043795,12/01/2007 10:02:00 PM,XX,FELLSWAY W,,S,35,220,BURGLARY/BREAKING AND ENTERING,-71.08857,42.39215,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
10032791,09/27/2010 02:35:00 PM,XX,FRANKLIN ST,,S,15,220,BURGLARY/BREAKING AND ENTERING,-71.08513,42.38310,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
16056744,09/09/2016 02:15:34 AM,XX,GILMAN ST,,S,13,120,ROBBERY,-71.09167,42.38548,25,017,351404,1400000US25017351404,25017351404,3514.04,CT,418512,0
7023827,07/02/2007 08:38:00 PM,XX,GOV WINTHROP RD,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.08778,42.39633,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
9027095,07/23/2009 05:40:00 PM,XX,GRANT ST,,S,37,220,BURGLARY/BREAKING AND ENTERING,-71.08955,42.39332,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
11010784,03/31/2011 08:29:00 AM,XX,HIGHLAND AVE,,S,48,240,MOTOR VEHICLE THEFT,-71.09592,42.38577,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
7015527,05/06/2007 10:45:00 PM,XX,HIGHLAND AVE,,S,NA,240,MOTOR VEHICLE THEFT,-71.09592,42.38577,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
7016281,05/12/2007 10:04:00 AM,XX,HIGHLAND AVE,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.09592,42.38577,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
14036454,10/20/2014 11:30:51 AM,XX,HIGHLAND AVE,,S,48,23F,THEFT FROM MOTOR VEHICLE,-71.09592,42.38577,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
10041461,12/18/2010 01:56:00 AM,XX,HIGHLAND AVE,,S,48,23F,THEFT FROM MOTOR VEHICLE,-71.09592,42.38577,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
5018918,06/16/2005 06:30:00 PM,XX,IBBETSON ST,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.11128,42.38649,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
7040071,10/29/2007 09:59:00 PM,XX,IBBETSON ST/OUT FRONT,,B,95,120,ROBBERY,-71.11128,42.38649,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
10012593,04/21/2010 07:41:00 AM,XX,LIBERTY AVE,,S,86,23F,THEFT FROM MOTOR VEHICLE,-71.11632,42.39899,25,017,350400,1400000US25017350400,25017350400,3504,CT,600540,0
13032742,08/28/2013 10:00:15 AM,XX,LOWDEN AVE,,S,86,220,BURGLARY/BREAKING AND ENTERING,-71.11483,42.39840,25,017,350400,1400000US25017350400,25017350400,3504,CT,600540,0
10024992,07/26/2010 02:52:00 PM,XX,MEACHAM RD,,S,117,240,MOTOR VEHICLE THEFT,-71.12459,42.39682,25,017,350900,1400000US25017350900,25017350900,3509,CT,421685,0
