Week Number,Tract Number,Abandoned property,ISD-Buildings,Illegal parking,Power outage,Street light issue,TV/monitor pick up
24,350500,0.0,0.0,1.0,0.0,0.0,2.0
24,350600,0.0,0.0,1.0,0.0,0.0,2.0
24,350700,0.0,0.0,6.0,1.0,0.0,5.0
24,350800,0.0,0.0,0.0,0.0,0.0,2.0
24,350900,0.0,1.0,3.0,0.0,0.0,3.0
24,351000,1.0,0.0,3.0,0.0,0.0,6.0
24,351100,0.0,2.0,4.0,1.0,0.0,7.0
24,351203,0.0,1.0,1.0,0.0,0.0,6.0
24,351204,0.0,0.0,1.0,0.0,1.0,2.0
24,351300,0.0,0.0,1.0,0.0,0.0,4.0
24,351403,0.0,0.0,0.0,0.0,0.0,2.0
24,351404,0.0,1.0,4.0,0.0,1.0,1.0
24,351500,0.0,0.0,2.0,0.0,0.0,2.0
25,350104,1.0,1.0,2.0,0.0,0.0,5.0
25,350200,0.0,5.0,2.0,0.0,0.0,5.0
25,350300,2.0,0.0,2.0,0.0,1.0,0.0
25,350400,1.0,2.0,1.0,0.0,0.0,4.0
25,350500,0.0,0.0,1.0,0.0,0.0,2.0
25,350600,0.0,0.0,0.0,0.0,0.0,3.0
25,350700,1.0,3.0,5.0,0.0,0.0,1.0
25,350800,1.0,0.0,1.0,0.0,0.0,1.0
25,350900,0.0,0.0,8.0,0.0,1.0,2.0
25,351000,1.0,2.0,5.0,0.0,0.0,0.0
25,351100,1.0,3.0,3.0,0.0,0.0,1.0
25,351203,1.0,1.0,1.0,0.0,0.0,2.0
25,351204,0.0,2.0,5.0,0.0,2.0,3.0
25,351300,1.0,1.0,0.0,0.0,0.0,1.0
25,351403,0.0,3.0,5.0,0.0,1.0,3.0
25,351404,1.0,4.0,4.0,0.0,0.0,5.0
25,351500,0.0,0.0,4.0,0.0,0.0,0.0
26,350104,0.0,0.0,2.0,0.0,0.0,0.0
26,350200,1.0,0.0,9.0,0.0,0.0,2.0
26,350300,0.0,0.0,1.0,0.0,0.0,2.0
26,350400,1.0,1.0,2.0,0.0,0.0,0.0
26,350600,0.0,0.0,1.0,0.0,0.0,0.0
26,350700,0.0,0.0,3.0,0.0,0.0,2.0
26,350800,0.0,2.0,1.0,0.0,0.0,0.0
26,350900,0.0,0.0,0.0,0.0,0.0,1.0
26,351000,0.0,1.0,2.0,0.0,0.0,2.0
26,351100,0.0,0.0,3.0,0.0,0.0,2.0
26,351203,2.0,2.0,3.0,0.0,0.0,3.0
26,351204,0.0,1.0,3.0,0.0,0.0,3.0
26,351300,0.0,1.0,1.0,0.0,0.0,6.0
26,351403,0.0,3.0,2.0,0.0,0.0,3.0
26,351404,1.0,2.0,2.0,0.0,1.0,3.0
26,351500,0.0,1.0,3.0,0.0,0.0,1.0
27,350103,0.0,0.0,3.0,0.0,0.0,2.0
27,350104,1.0,0.0,4.0,0.0,0.0,2.0
27,350200,2.0,0.0,2.0,0.0,0.0,3.0
27,350300,0.0,0.0,4.0,0.0,0.0,1.0
27,350400,0.0,2.0,1.0,0.0,0.0,3.0
27,350500,0.0,2.0,1.0,0.0,0.0,0.0
27,350600,0.0,0.0,0.0,0.0,0.0,1.0
27,350700,0.0,1.0,0.0,0.0,0.0,1.0
27,350900,0.0,0.0,1.0,0.0,0.0,0.0
27,351000,0.0,1.0,3.0,0.0,0.0,3.0
27,351100,0.0,1.0,0.0,0.0,0.0,3.0
27,351203,0.0,2.0,0.0,0.0,0.0,1.0
27,351204,0.0,0.0,2.0,0.0,0.0,2.0
27,351300,0.0,0.0,4.0,0.0,0.0,0.0
27,351403,0.0,1.0,0.0,0.0,0.0,0.0
27,351404,0.0,5.0,2.0,0.0,0.0,0.0
27,351500,0.0,0.0,1.0,0.0,2.0,0.0
28,350103,0.0,0.0,3.0,0.0,0.0,0.0
28,350104,2.0,3.0,0.0,0.0,0.0,2.0
28,350200,0.0,1.0,1.0,0.0,0.0,5.0
28,350300,0.0,0.0,4.0,0.0,0.0,0.0
28,350400,0.0,1.0,1.0,0.0,0.0,1.0
28,350500,0.0,0.0,1.0,0.0,0.0,4.0
28,350600,0.0,0.0,0.0,0.0,0.0,1.0
28,350700,0.0,0.0,3.0,0.0,0.0,5.0
28,350800,0.0,0.0,0.0,0.0,0.0,1.0
28,350900,0.0,0.0,2.0,0.0,0.0,2.0
28,351000,0.0,0.0,7.0,0.0,0.0,2.0
28,351100,0.0,1.0,2.0,0.0,0.0,2.0
28,351203,0.0,1.0,2.0,0.0,0.0,1.0
28,351204,0.0,2.0,4.0,0.0,0.0,3.0
28,351300,0.0,0.0,2.0,0.0,0.0,1.0
28,351403,0.0,2.0,3.0,0.0,1.0,3.0
28,351404,1.0,6.0,0.0,0.0,0.0,3.0
28,351500,0.0,1.0,0.0,0.0,0.0,2.0
29,350103,0.0,1.0,1.0,0.0,0.0,0.0
29,350104,1.0,4.0,3.0,0.0,0.0,5.0
29,350200,0.0,0.0,7.0,0.0,0.0,1.0
29,350300,0.0,1.0,1.0,0.0,0.0,3.0
29,350400,1.0,1.0,1.0,0.0,0.0,8.0
29,350500,0.0,0.0,2.0,0.0,0.0,0.0
29,350600,0.0,1.0,0.0,0.0,0.0,1.0
29,350700,0.0,3.0,5.0,0.0,0.0,1.0
29,350800,0.0,1.0,0.0,0.0,0.0,1.0
29,350900,0.0,1.0,1.0,0.0,0.0,2.0
29,351000,0.0,1.0,8.0,0.0,0.0,2.0
29,351100,1.0,0.0,7.0,0.0,0.0,4.0
29,351203,0.0,0.0,1.0,0.0,0.0,2.0
29,351204,1.0,0.0,3.0,0.0,0.0,1.0
29,351300,0.0,5.0,0.0,0.0,0.0,2.0
29,351403,0.0,1.0,2.0,0.0,0.0,3.0
29,351404,1.0,1.0,5.0,0.0,0.0,5.0
30,350103,0.0,1.0,1.0,0.0,0.0,0.0
30,350104,0.0,1.0,1.0,0.0,0.0,0.0
30,350200,0.0,6.0,5.0,0.0,0.0,1.0
30,350300,0.0,0.0,2.0,0.0,1.0,0.0
30,350400,1.0,1.0,2.0,0.0,0.0,2.0
30,350500,0.0,1.0,0.0,0.0,0.0,4.0
30,350600,0.0,0.0,1.0,0.0,0.0,4.0
30,350700,0.0,0.0,3.0,0.0,0.0,0.0
30,350800,0.0,0.0,0.0,0.0,0.0,3.0
30,350900,1.0,1.0,4.0,0.0,0.0,1.0
30,351000,0.0,2.0,3.0,0.0,0.0,5.0
30,351100,0.0,2.0,3.0,0.0,0.0,2.0
30,351203,0.0,0.0,3.0,0.0,0.0,1.0
30,351204,0.0,0.0,5.0,0.0,0.0,3.0
30,351300,1.0,0.0,4.0,0.0,0.0,1.0
30,351403,0.0,0.0,0.0,0.0,0.0,3.0
30,351404,0.0,1.0,0.0,0.0,0.0,1.0
30,351500,0.0,0.0,2.0,0.0,0.0,0.0
31,350103,1.0,0.0,0.0,0.0,0.0,0.0
31,350104,0.0,1.0,0.0,0.0,0.0,0.0
31,350200,1.0,0.0,1.0,0.0,0.0,1.0
31,350400,0.0,0.0,1.0,0.0,0.0,1.0
31,350500,0.0,2.0,1.0,0.0,0.0,0.0
31,350600,0.0,1.0,0.0,0.0,0.0,0.0
31,350700,0.0,0.0,0.0,0.0,0.0,2.0
31,350900,0.0,1.0,3.0,0.0,0.0,0.0
31,351000,0.0,2.0,0.0,0.0,0.0,1.0
31,351100,0.0,1.0,1.0,0.0,0.0,2.0
31,351203,0.0,0.0,1.0,0.0,0.0,0.0
31,351204,0.0,1.0,2.0,0.0,0.0,0.0
31,351300,0.0,1.0,1.0,0.0,0.0,1.0
