incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y
8038045,10/22/2008 10:36:00 AM,XX,HIGHLAND RD,,S,88,240,MOTOR VEHICLE THEFT,-71.112004,42.397184
7020647,06/11/2007 07:39:00 AM,XX,HUDSON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.107234,42.390764
8012098,04/11/2008 07:36:00 AM,XX,IRVING ST,,S,112,23F,THEFT FROM MOTOR VEHICLE,-71.121774,42.400836
15029877,06/25/2015 11:17:19 PM,XX,JOSEPHINE AVE,,S,87,220,BURGLARY/BREAKING AND ENTERING,-71.113268,42.397878
10002227,01/22/2010 12:45:00 PM,XX,MARION ST,,S,58,220,BURGLARY/BREAKING AND ENTERING,-71.102332,42.377294
16044702,07/22/2016 08:17:06 AM,XX,MARSHALL ST,,S,41,23F,THEFT FROM MOTOR VEHICLE,-71.095457,42.388737
8029539,08/22/2008 09:10:00 AM,XX,MARSHALL ST,,S,41,240,MOTOR VEHICLE THEFT,-71.095457,42.388737
10002714,01/26/2010 07:12:00 PM,XX,MORRISON AVE,,S,90,220,BURGLARY/BREAKING AND ENTERING,-71.11469,42.395485
12011203,03/26/2012 07:17:00 AM,XX,ORCHARD ST,,S,109,23F,THEFT FROM MOTOR VEHICLE,-71.122358,42.39299
14008517,03/18/2014 09:23:25 PM,XX,ORCHARD ST,,S,109,23F,THEFT FROM MOTOR VEHICLE,-71.122358,42.39299
8015824,05/11/2008 09:27:00 PM,XX,ORCHARD ST,,S,109,220,BURGLARY/BREAKING AND ENTERING,-71.122358,42.39299
7036769,10/04/2007 04:56:00 PM,XX,PORTER ST,,S,73,23F,THEFT FROM MOTOR VEHICLE,-71.110924,42.390081
9042446,11/17/2009 06:59:00 AM,XX,SUMMER ST,,S,46,23F,THEFT FROM MOTOR VEHICLE,-71.101265,42.384736
9006219,02/18/2009 05:31:00 AM,XX,TEMPLE ST,,S,35,220,BURGLARY/BREAKING AND ENTERING,-71.091189,42.395181
8026189,07/28/2008 04:36:00 AM,XX,TEN HILLS RD,,S,32,220,BURGLARY/BREAKING AND ENTERING,-71.085724,42.397517
9034613,09/18/2009 09:54:00 AM,XX,THURSTON ST,,S,39,23F,THEFT FROM MOTOR VEHICLE,-71.097039,42.392372
6036484,10/18/2006 02:04:00 PM,8XX,BROADWAY,,S,NA,240,MOTOR VEHICLE THEFT,-71.118271,42.400762
9046755,12/22/2009 05:33:00 PM,XX,BAY STATE AVE,,S,89,23F,THEFT FROM MOTOR VEHICLE,-71.116186,42.397762
7020148,06/08/2007 01:02:00 AM,XX,BEACON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
6044422,12/26/2006 07:03:00 PM,XX,BEACON ST,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.104942,42.377022
14005037,02/14/2014 09:52:56 AM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
10041607,12/19/2010 11:32:00 AM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
8019265,06/07/2008 11:37:00 AM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
5031154,09/23/2005 07:55:00 AM,XX,BEACON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
9006495,02/20/2009 01:33:00 PM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
8040013,11/05/2008 10:36:00 AM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
10041602,12/19/2010 10:39:00 AM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
13030714,08/13/2013 08:31:12 AM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
9003836,01/30/2009 11:51:00 AM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
7029617,08/14/2007 07:59:00 PM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
8032474,09/12/2008 10:47:00 AM,XX,BEACON ST,,S,59,240,MOTOR VEHICLE THEFT,-71.104942,42.377022
8045538,12/17/2008 04:39:00 PM,XX,BEACON ST,,S,60,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
8009700,03/22/2008 10:35:00 PM,XX,BEACON ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.104942,42.377022
10030112,09/05/2010 04:45:00 PM,XX,BROADWAY,,S,11,23F,THEFT FROM MOTOR VEHICLE,-71.082402,42.387136
5039436,11/30/2005 02:42:00 PM,XX,BROADWAY,,,NA,120,ROBBERY,-71.082402,42.387136
5041655,12/20/2005 11:18:00 AM,XX,BROADWAY,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.082402,42.387136
7034421,09/18/2007 09:35:00 AM,XX,CLARENDON AVE,,S,130,23F,THEFT FROM MOTOR VEHICLE,-71.130357,42.401141
11044289,12/22/2011 09:40:00 AM,XX,CONCORD AVE,,S,58,23F,THEFT FROM MOTOR VEHICLE,-71.101026,42.376053
13000945,01/07/2013 01:25:00 PM,XX,CONCORD AVE,,S,58,23F,THEFT FROM MOTOR VEHICLE,-71.101026,42.376053
7035739,09/27/2007 06:48:00 AM,XX,CROSS ST,,S,14,220,BURGLARY/BREAKING AND ENTERING,-71.088192,42.385122
9018122,05/21/2009 02:07:00 PM,XX,CROSS ST,,S,14,220,BURGLARY/BREAKING AND ENTERING,-71.088192,42.385122
5005857,02/21/2005 08:30:00 PM,XX,CROSS ST,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.088192,42.385122
8004617,02/09/2008 09:18:00 AM,XX,DOVER ST,,S,117,23F,THEFT FROM MOTOR VEHICLE,-71.124237,42.396123
11037838,11/07/2011 07:14:00 PM,XX,DOVER ST,,S,117,220,BURGLARY/BREAKING AND ENTERING,-71.124237,42.396123
12045822,11/14/2012 07:24:00 PM,XX,FREMONT ST,,S,33,220,BURGLARY/BREAKING AND ENTERING,-71.097215,42.399205
15062526,12/21/2015 05:01:36 PM,XX,GILMAN ST,,S,13,220,BURGLARY/BREAKING AND ENTERING,-71.092541,42.386062
12023251,06/18/2012 01:31:00 AM,XX,GILMAN ST,,S,13,220,BURGLARY/BREAKING AND ENTERING,-71.092541,42.386062
14025104,07/29/2014 06:13:48 PM,XX,GILMAN ST,,S,13,23F,THEFT FROM MOTOR VEHICLE,-71.092541,42.386062
7034546,09/19/2007 09:39:00 AM,XX,GLEN ST,,S,14,23F,THEFT FROM MOTOR VEHICLE,-71.086106,42.38496
9042041,11/13/2009 05:32:00 PM,XX,GLEN ST,,S,14,240,MOTOR VEHICLE THEFT,-71.086106,42.38496
16014002,03/12/2016 12:18:21 AM,XX,HIGHLAND AV,,S,47,240,MOTOR VEHICLE THEFT,-71.098255,42.386618
11023581,07/21/2011 01:13:00 PM,XX,HIGHLAND AVE,,S,47,23F,THEFT FROM MOTOR VEHICLE,-71.098255,42.386618
12027263,07/14/2012 12:59:00 AM,XX,IRVING ST,,S,112,120,ROBBERY,-71.121847,42.400948
17015291,03/13/2017 11:53:08 AM,XX,LEXINGTON AV,,S,93,23F,THEFT FROM MOTOR VEHICLE,-71.115191,42.394516
10000285,01/03/2010 03:52:00 PM,XX,LEXINGTON AVE,,S,93,220,BURGLARY/BREAKING AND ENTERING,-71.115191,42.394516
15016605,04/15/2015 07:01:25 AM,XX,LIBERTY AVE,,S,89,23F,THEFT FROM MOTOR VEHICLE,-71.116861,42.3982
9027231,07/24/2009 03:05:00 PM,XX,LIBERTY AVE,,S,89,220,BURGLARY/BREAKING AND ENTERING,-71.116861,42.3982
14042543,12/03/2014 08:17:41 AM,XX,LIBERTY AVE,,S,89,23F,THEFT FROM MOTOR VEHICLE,-71.116861,42.3982
9011042,03/30/2009 04:01:00 PM,XX,LOWELL ST,,S,77,23F,THEFT FROM MOTOR VEHICLE,-71.110008,42.387385
15053482,10/30/2015 07:22:55 AM,XX,MORRISON AV,,S,89,23F,THEFT FROM MOTOR VEHICLE,-71.114769,42.395389
8017624,05/26/2008 06:53:00 AM,XX,ORCHARD ST,,S,109,23F,THEFT FROM MOTOR VEHICLE,-71.122358,42.392829
15013932,03/30/2015 08:56:21 PM,XX,OSSIPEE RD,,S,120,23F,THEFT FROM MOTOR VEHICLE,-71.125709,42.404578
11019441,06/16/2011 10:14:00 AM,XX,OXFORD ST,,S,48,23F,THEFT FROM MOTOR VEHICLE,-71.10242,42.38723
7013024,04/18/2007 08:24:00 AM,XX,PARTRIDGE AVE,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.102204,42.396073
9002515,01/20/2009 07:23:00 PM,XX,PEARL ST,,S,14,220,BURGLARY/BREAKING AND ENTERING,-71.085136,42.384794
16025020,05/04/2016 07:46:01 AM,XX,PORTER ST,,S,72,23F,THEFT FROM MOTOR VEHICLE,-71.11114,42.390007
14039679,11/10/2014 04:26:17 PM,XX,TEN HILLS RD,,S,32,23F,THEFT FROM MOTOR VEHICLE,-71.085948,42.397528
8032842,09/14/2008 02:20:00 PM,XX,VERNON ST,,S,66,220,BURGLARY/BREAKING AND ENTERING,-71.104919,42.392934
10000877,01/09/2010 08:56:00 PM,XX,WHEATLAND ST,,S,35,23F,THEFT FROM MOTOR VEHICLE,-71.088397,42.393253
16039372,06/29/2016 04:07:20 PM,XX,WHEATLAND ST,,S,35,220,BURGLARY/BREAKING AND ENTERING,-71.088397,42.393253
8010076,03/26/2008 01:20:00 AM,XX,WINSLOW AVE,,S,104,23F,THEFT FROM MOTOR VEHICLE,-71.11828,42.396194
13011387,03/22/2013 07:06:40 PM,8XX,BROADWAY,,S,111,220,BURGLARY/BREAKING AND ENTERING,-71.118467,42.400862
11016799,05/24/2011 10:49:00 AM,8XX,BROADWAY,,S,111,23F,THEFT FROM MOTOR VEHICLE,-71.118467,42.400862
8027937,08/10/2008 02:11:00 PM,XX,BAILEY RD,,S,31,220,BURGLARY/BREAKING AND ENTERING,-71.088652,42.396276
14022943,07/13/2014 09:37:02 AM,XX,BOSTON AVE,,S,85,23F,THEFT FROM MOTOR VEHICLE,-71.109717,42.397355
9038931,10/20/2009 12:30:00 PM,XX,CEDAR ST,,S,72,23F,THEFT FROM MOTOR VEHICLE,-71.112778,42.391541
14023364,07/16/2014 08:55:32 PM,XX,CLARENDON AVE,,S,130,220,BURGLARY/BREAKING AND ENTERING,-71.130467,42.401215
12043558,10/29/2012 12:53:00 AM,XX,CLARENDON AVE,,S,130,240,MOTOR VEHICLE THEFT,-71.130467,42.401215
8019201,06/06/2008 10:32:00 PM,XX,COLLEGE AVE,,S,104,23F,THEFT FROM MOTOR VEHICLE,-71.119692,42.399018
11008409,03/09/2011 08:09:00 AM,XX,CONCORD AVE,,S,58,23F,THEFT FROM MOTOR VEHICLE,-71.101151,42.376123
10006602,03/03/2010 05:51:00 AM,XX,CURTIS ST,,S,119,120,ROBBERY,-71.125201,42.406287
15058067,11/25/2015 06:39:51 AM,XX,ELM ST,,B,100,220,BURGLARY/BREAKING AND ENTERING,-71.116484,42.389195
9031405,08/24/2009 02:10:00 PM,XX,GRANT ST,,S,35,240,MOTOR VEHICLE THEFT,-71.088575,42.39389
8022811,07/03/2008 04:59:00 PM,XX,HEATH ST,,S,33,240,MOTOR VEHICLE THEFT,-71.096179,42.395517
11021410,07/02/2011 11:00:00 PM,XX,HEATH ST,,S,33,23F,THEFT FROM MOTOR VEHICLE,-71.096179,42.395517
6023067,07/07/2006 05:58:00 PM,XX,NEWTON ST,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.097577,42.377025
9045396,12/12/2009 03:09:00 PM,XX,OSSIPEE RD,,S,120,23F,THEFT FROM MOTOR VEHICLE,-71.125659,42.404683
6037601,10/28/2006 10:35:00 AM,XX,OXFORD ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.102382,42.387338
